일자,언론사,기고자,제목
20191231,전북일보,이강모,[한신협 공동 여론조사] 문 대통령 국정운영 '잘한다' 47.7% '잘못한다' 49.3%
20191231,전북일보,전북일보,"[신년사] 문재인 대통령 ""함께 잘 사는 나라, 도약하는 대한민국으로"""
20191231,YTN,김도원,"""내일까지 재송부""...문 대통령, 모레 추미애 임명할 듯"
20191231,중부일보,김지백·김익환,"이창근 하남 국회의원 예비후보 ""문재인 정부 부동산 정책, 反시장적 사회주의식 발상"""
20191231,경향신문,조형국 기자 situation@kyunghyang.com,"문 대통령, 추미애 법무부 장관 후보자 이르면 2일 임명"
20191231,SBS,강청완 기자,'문 대통령-트럼프 통화 누설' 강효상 의원 불구속 기소
20191231,OBS,배해수,"문 대통령 신년 메시지 ""새해에는 확실한 성과로 열매"""
20191231,한국경제,박재원(wonderful@hankyung.com),"문 대통령, SNS에 신년 메시지 ""변화의 싹, 확실한 성과로 꽃 피울 것"""
20191231,부산일보,,[신년사] 문재인 대통령 “변화의 싹을 성과로 꽃피우겠습니다”
20191231,세계일보,정은나리,“국민께 보답하는 한해로” 신년 포부 밝힌 문 대통령
20191231,헤럴드경제,강문규 기자,"문대통령, 새해 인사 “확실한 성과로 꽃 피우고 열매 맺을 것”"
20191231,헤럴드경제,이운자 기자,"문 대통령 “변화의 싹, 새해엔 확실한 성과로 열매” 신년사"
20191231,아주경제,최신형,"[신년사] 문재인 대통령 ""확실한 성과로 꽃 피우고 열매 맺을 것"""
20191231,매일신문,황희진,[전문] 문재인 대통령 2020년 새해 인사 발표
20191231,YTN,YTN,"문 대통령 ""새해, 확실한 성과로 열매 맺을 것"""
20191231,경향신문,조형국 기자 situation@kyunghyang.com,문 대통령 “새해에는 변화의 싹이 열매 맺도록 할 것”
20191231,서울신문,이재연,"문 대통령, SNS로 새해 인사 “함께 잘 사는 나라 향해 힘차게 나아갈 것”"
20191231,경향신문,도쿄|김진우 특파원 jwkim@kyunghyang.com,"""아베, 문 대통령에 '후쿠시마 괴롭히는 것 적당히 해달라'"""
20191231,YTN,김도원,"""내일까지 재송부""...문 대통령, 모레 추미애 임명으로 검찰개혁 박차"
20191231,서울경제,양지윤 기자,문 대통령 올해 연차 5일만 소진 취임후 가장 적게 쉬어
20191231,내일신문,구본홍,문재인 대통령 새해 국정운영도 '험로' 예상
20191231,OBS,배해수,"문 대통령, 추미애 청문보고서 내일까지 재송부 요청"
20191231,중앙일보,윤설영(snow0@jtbc.co.kr),"문 대통령에 직격탄 날린 아베 ""후쿠시마 적당히 괴롭혀라"""
20191231,부산일보,박석호,"문 대통령, 추미애 청문경고보고서 송부 재요청...1월 2일 임명 수순"
