일자,언론사,기고자,제목
20131231,내일신문,엄경용,박 대통령 하향 지지율  '철도'로 반전?
20131231,전자신문,권상희,"박 대통령 신년사 ""경제활성화에 역량 집중"""
20131231,세계일보,박태훈,"박 대통령 신년사에서 ""2014년 경제활성화와 민생안정에 주력하겠다""고 밝혀"
20131231,중도일보,"김대중
기자",박 대통령 “변화따른 고뇌와 아픔 극복해야”
20131231,전북일보,위병기,박 대통령 “새해엔 과거사 상처 헤집는 행동 없었으면”
20131231,국제신문,,"박근혜 대통령 ""국가간 과거사 아픔 헤집지 말아야"""
20131231,국제신문,손균근,"5면/박근혜 대통령, ""과거사 상처 헤집는 행동 없어야"""
20131231,국제신문,배재한,"33판용/5면/박 대통령 ""과거사 아픔 헤집지 말아야"""
20131231,부산일보,,"박근혜 대통령 신년사 ""민생 안정에 역량 집중"""
20131231,부산일보,,"박근혜 대통령 신년사 ""민생 안정에 역량 집중"""
20131231,부산일보,,"대통령 지지도 56.9% ""박 대통령 직무수행 잘하고 있다"""
20131231,경향신문,안홍욱,박 대통령 “유언비어 바로잡아야”
20131231,서울경제,권경원,"박근혜 대통령 신년사, 비정상의 정상화 개혁 계속해 나가겠다"
20131231,한국일보,안아람,"40대 남성 ""박근혜 대통령 사퇴하라"" 분신 시도"
20131231,한겨레,석진환,"박근혜 대통령이 일간지에 기고, 왜?"
20131231,한겨레,석진환,박 대통령 신년사 “정상화 개혁 꾸준히”
20131231,한겨레,석진환,"박 대통령, 파업철회 뒤에도 노조 비판"
20131231,한겨레,이경미,"법무부, 박 대통령 비방 사건 잇단 무죄 평결에 부담? 선거법 위반은 국민참여재판 제외 추진"
20131231,SBS,김수형,"58.3% ""박 대통령 소통 미흡""...새해 과제"
20131231,SBS,정준형,"박 대통령 신년사 ""새해 경제활성화 민생안정 역량 집중"""
20131231,SBS,이승재,"여론조사 57.9% ""박 대통령 취임 첫해 잘했다"""
20131231,머니투데이,김익태|기자,[전문]박근혜 대통령 2014년 신년사
20131231,중부일보,,"박근혜 대통령 ""경기회복 불씨 살려 경제 활성화"""
20131231,중앙일보,,"""일등과 일류국가는 엄연히 다르다"" 박 대통령, 아베 겨냥 강경 메시지"
20131231,파이낸셜뉴스,,[2014 신년 메시지] 박근혜 대통령 ＂비정상의 정상화 개혁 계속＂
20131231,파이낸셜뉴스,,[2014 신년 메시지] 박근혜 대통령 ＂비정상의 정상화 개혁 계속＂
20131230,내일신문,엄경용,"박 대통령, 일본 노조 한꺼번에 비판"
20131230,내일신문,엄경용,"박 대통령 ""장성택 이후 북 상황에 우려"""
20131230,아주경제,주진,"박근혜 대통령, ""굴복하면 결국 국민에게 부담으로 돌아가"" 철도파업 원칙 대응 강조"
20131230,아주경제,주진,"박근혜 대통령, ""예산안ㆍ민생법안 반드시 오늘 처리돼야"""
20131230,아주경제,주진,"박근혜 대통령, ""여성경제활동 참여 확대, 국가경쟁력강화 필수요건"""
20131230,중도일보,,박 대통령 “세종은 대한민국 경제정책 1번지”
20131230,중도일보,,박 대통령 “경제정책 1번지 세종에서 기적 일으켜야”
20131230,충북일보,최범규,"주간인사이드-홍재형, 박근혜 대통령에 직격탄"
20131230,매일경제,,"[김형오의 시사 엿보기] 파업 끝낸 철도노조, 그리고 박근혜 대통령 지지율"
20131230,매일경제,김성철,"박 대통령 ""집단 이기주의 자제해야"""
20131230,머니투데이,이상배|기자,박근혜 대통령이 지금 철도노조에 손을 내민다면?
20131230,경남도민일보,정성인,박 대통령이 새겨야 할 정치의 원칙
20131230,부산일보,,"박 대통령 ""남북관계 실질적 정상화, 갈 길 멀다"""
20131230,경향신문,,[경향포토]박근혜 대통령 수석비서관회의 주재
20131230,경향신문,,[경향포토]수석비서관회의에서 발언하는 박근혜대통령
20131230,경향신문,,[경향포토]수석비서관회의 참석하는 박근혜 대통령
20131230,경향신문,,[경향포토]대통령 주재 수석비서관회의에서 얘기하는 박 대통령
20131230,경향신문,,[경향포토]수석비서관회의 발언하는 박 대통령
20131230,KBS,이석호,박 대통령 “인류 사회 양심 반하면 일류국가 못 돼”
20131230,MBC,,"박 대통령 ""오늘 예산안 반드시 처리 기대"""
20131230,충청투데이,김홍민 기자,"박 대통령 “세종청사, 대한민국 경제정책 1번지”"
20131230,강원일보,,도민 64% “박 대통령 국정운영 잘하고 있다”
20131230,한겨레,,"박 대통령 “SNS 유언비어, 신속 적극 선제적 대응하라”"
20131230,한겨레,,이러면 박 대통령은 안녕할 것인가
20131230,SBS,이승재,"박 대통령 ""과거 상처 헤집지 말라"" 정면 비판"
20131230,SBS,정준형,"박 대통령 ""개혁 왜곡세력에 선제적 대응"""
20131230,SBS,이승재,"박 대통령 ""예산안 오늘 반드시 처리 기대"""
20131230,SBS,이승재,"박 대통령 ""집단 이기주의 자제돼야...국민에 부담"""
20131230,머니투데이,신희은|기자,"신승철 위원장 ""박근혜 정권 퇴진 투쟁 멈추지 않을 것""(2보)"
20131230,매일경제,,"박 대통령 ""상황 왜곡에 신속 선제적 대응해야"""
20131230,매일경제,,"박 대통령 ""새해에는 집단 이기주의 자제해야"""
20131230,매일경제,,"[속보] 박 대통령 ""기본 질서 준수 없으면 일류국민 아냐"""
20131230,매일경제,,"[속보] 박 대통령 ""새해에는 집단 이기주의 자제되어야"""
20131230,매일경제,,"박 대통령, 올해 마지막 수석회의 철도파업 관련 ""공짜 점심은 없다?"""
20131230,매일경제,,오늘 수석비서관 회의 박 대통령 발언 '주목'
20131229,매일경제,,박 대통령 입에 쏠린 눈 내일 발언 '주목'
20131229,한겨레,,‘친박’ 유승민 “박 대통령 주변 사람들이 대통령 잘못 이해시키고 있다”
