일자,언론사,기고자,제목
20201112,디지털타임스,이미정,"싸이큐어 황원준 대표, 제12회 국제 ART MAKEUP 올림픽대회 ‘국회의원 심상정의원상’ 수상"
20201101,중부일보,라다솜,"송영길 이학영 심상정, '북한이탈주민 생산품 국회 특별전시회' 개최"
20201027,헤럴드경제,이명수 기자,"하태경 ""정의당은 심상정 대표를 지우고 싶어하나"""
20201015,MBC,배주환,[정치원샷] 국회 등장한 '보건교사 심상정'?
20201015,MBC,김재영,[정참시] 여의도 운명의 밤 선거법 적용 결과는? / 국회 나타난 '보건교사 심상정'?
20201015,중앙일보,홍수민(sumin@joongang.co.kr),"'보건교사 안은영' 된 심상정, 국회서 무지개칼 휘두른 이유는"
20201015,전북도민일보,이휘빈 기자,"심상정 의원, 사립 유치원 교사 9.4% “임신 출산시 퇴직 요구받아” 응답"
20201015,조선일보,김경필 기자,‘보건교사 안은영’의 광선검 들고 국회 나타난 심상정
20201015,한국경제,강경주(qurasoha@hankyung.com),"'보건교사 안은영' 변신한 심상정, 국회서 1인 시위한 이유"
20201015,헤럴드경제,이상섭 기자,[헤럴드pic] 1인 시위하는 심상정 의원
20201015,아시아경제,윤동주,[포토] '심상정 의원이 드라마 주인공 복장한 이유는?'
20201012,한겨레,정환봉,심상정 어디로? “정의당 아닌 정치인의 길 고민”
20201009,동아일보,최혜령,‘포스트 심상정’ 정의당 새 대표에 김종철 “거대양당 긴장하라”
20201009,서울경제,김혜린 기자,김종철 정의당 신임 당대표 당선 '포스트 심상정' 체제 출발(종합)
20201008,조선일보,원선우 기자,"심상정 “삼성, 유령언론사 세워 임원이 기자행세하며 국회 출입”"
20201008,국민일보,박세환,"심상정 “삼성, 국회 우롱 유령언론사 의혹 수사해야”"
20201008,서울경제,김혜린 기자,"심상정 ""삼성전자 국회 우롱 사건 진상 밝혀라"""
20201008,머니투데이,김현지B|기자,"심상정 ""삼성전자, 국회 우롱 절대 용납하지 않을 것"""
20201008,아주경제,신승훈,[오늘의 국회 일정(8일)] 이낙연 김종인 심상정 안철수 최강욱 등 지도부 종합
20201007,아주경제,신승훈,[오늘의 국회 일정(7일)] 이낙연 김종인 심상정 안철수 최강욱 등 지도부 종합
20201006,매일신문,매일신문,"[관풍루] 정의당 심상정 대표, 정부의 개천절 집회 봉쇄 비판하며 한글날 집회 개최 보수단체에 자중 주문"
20201006,아주경제,신승훈,[오늘의 국회 일정(6일)] 이낙연 김종인 심상정 안철수 최강욱 등 지도부 종합
20201005,중앙일보,하준호(ha.junho1@joongang.co.kr),김종철 배진교 2파전 '포스트 심상정' 정의당 결선투표 변수는?
20201005,헤럴드경제,홍승희 기자,김종철-김종민 vs 배진교-박창진 연대 결성 정의당 '포스트 심상정' 결선 돌입
20201005,아주경제,신승훈,[오늘의 국회 일정(5일)] 이낙연 김종인 심상정 안철수 최강욱 등 지도부 종합
20200929,아주경제,신승훈,[오늘의 국회 일정(29일)] 이낙연 김종인 심상정 안철수 최강욱 등 지도부 종합
20200928,서울신문,신형철,"‘대세론은 없다?’...정의당, 포스트 심상정 놓고 대혈투"
20200928,경향신문,박홍두 기자 phd@kyunghyang.com,"정의당, 대북 강경발언 계속 왜?  심상정 “민주당, 국민보다 남북관계 우선?”"
20200928,아주경제,신승훈,[오늘의 국회 일정(27일)] 이낙연 김종인 심상정 안철수 최강욱 등 지도부 종합
20200928,서울신문,기민도,‘포스트 심상정’ 김종철 vs 배진교 새달 9일 정의당 대표 최종 선출
20200927,서울신문,김채현,포스트 심상정 누구? 김종철 배진교 정의당 당대표 선거 결선진출
20200927,한국일보,홍인택,정의당 '포스트 심상정'...김종철ㆍ배진교 2파전으로
20200927,디지털타임스,김미경,"정의당, 10월 9일 당 대표 결선 `포스트 심상정` 김종철 배진교 대결로 좁혀져"
20200927,헤럴드경제,홍승희 기자,[정의당 대표 선거]김종철 vs 배진교 결선 진출 '포스트 심상정' 누가될까
20200927,세계일보,,정의당 27일 신임 당 대표 선출 '포스트 심상정' 과제는
20200927,조선일보,최승현 기자,"민주당 발 빼려는데, 정의당 심상정 “대북규탄결의안 채택하자”"
20200927,헤럴드경제,X3 기자,"‘포스트 심상정’ 누구? 정의당, 오늘 새 당 대표 선출"
20200927,서울경제,박진용 기자,막내린 심상정 체제 정의당 '진보정치 2세대' 대표 선출
20200927,머니투데이,이해진 |기자,'포스트 심상정' 누구? 정의당 오늘 새 당 대표 선출
20200927,YTN,최아영,심상정 다음은 누구?...이르면 오늘 정의당 새 대표 선출
20200927,YTN,최아영,심상정 다음은 누구?...이르면 오늘 정의당 새 대표 선출
20200926,YTN,최아영,심상정 다음은 누구?...이르면 내일 정의당 새 대표 선출
20200926,YTN,최아영,심상정 다음은 누구?...이르면 내일 정의당 새 대표 선출
20200925,아주경제,신승훈,[오늘의 국회 일정(25일)] 이낙연 김종인 심상정 안철수 최강욱 등 지도부 종합
20200924,MBC,김재영,"[정참시] 김종인 ""내 나이가 80인데 ""/퇴장하는 심상정, 정의당 시즌2는?"
20200924,디지털타임스,김미경,"퇴임 심상정 “문재인 정부, 국민의 삶 더 나빠져 정의당 시즌2 선보이겠다”"
