일자,,,언론사,기고자,제목
20170508,유시민,19대대선,헤럴드경제,민성기 기자,유시민 “공무원 되는 일 없을 것” 대선 후 거취 밝혀
20170508,유시민,19대대선,울산매일,노컷뉴스,"유시민은 왜 ""다음 정부 '어용 지식인' 되겠다"" 선언했나"
20170507,유시민,19대대선,국민일보,정지용 기자,"유시민 ""총리 맡으라는데 "" 대선 이후 거취를 밝혔다 (영상)"
20170506,유시민,19대대선,중앙일보,정은혜,유시민이 차기 정부서 아무 자리도 맡지 않으려는 이유
20170506,유시민,19대대선,울산매일,노컷뉴스,"유시민 ""보수는 노동자에 적대적"" 얼굴 붉힌 전원책"
20170506,유시민,19대대선,국민일보,김동운,"‘케미 제조기’ 나영석, 새 예능에 유희열 유시민 그리고?"
20170505,유시민,19대대선,중앙일보,이가영,"유시민, 문재인에게 총리 제안받았냐는 물음에 "
20170505,유시민,19대대선,중부일보,홍지예,"'썰전' 유시민 ""사드 배치가 문재인 도왔다 이번에는 트럼프가 야권 도와줬다"""
20170505,유시민,19대대선,서울신문,이슬기,"‘썰전’ 유시민, 문재인에 ‘총리 러브콜’ 받았냐는 질문에 "
20170505,유시민,19대대선,울산매일,노컷뉴스,"유시민 ""문재인이 예비내각 발표 안하는 이유 넷"""
20170505,유시민,19대대선,부산일보,미디어본부13,"'썰전' 유시민 ""문재인, 섀도캐비닛 공개 안 한 이유? 굳이 할 필요 없어"""
20170505,유시민,19대대선,경인일보,이상은 인턴기자,"'썰전' 유시민 ""트럼프 사드 비용 발언, 문재인에 유리하게 작용"""
20170505,유시민,19대대선,전자신문,이희진 기자,"유시민 ""유승민 후보, TV토론서 드리블은 화려한데 골을 못 넣었다"""
20170504,유시민,19대대선,전자신문,이희진 기자,‘썰전’ 유시민 작가가 밝힌 '문재인 후보가 섀도캐비닛 명단 공개 안 한 이유'
20170504,유시민,19대대선,서울신문,장은석,썰전 유시민 “문재인에 유리” 전원책 “트럼프가 선거 다 망쳤다”
20170504,유시민,19대대선,부산일보,미디어본부16,"'썰전', '사드 10억 달러' 요구 트럼프 전원책 ""한국을 전혀 모르는 사람""-유시민 ""미국도 모르는 사람"""
20170504,유시민,19대대선,경인일보,이상은 인턴기자,"'썰전' 유시민 ""19대 대선 변수, 북풍 아닌 사드 트럼프가 야권 도와"""
20170504,유시민,19대대선,매일신문,뉴미디어부01 limstar@msnet.co.kr,"국민투표로또, 알고보니 유시민 아이디어? ""투표 로또, 우리나라에서는 그게 제일 효과적"""
20170504,유시민,19대대선,서울경제,양지연 기자,"'썰전' 유시민 ""19대 대선 변수, 북풍(北風)아닌 태풍(太風)"""
20170503,유시민,19대대선,아시아경제,송윤정,"'백상예술대상' 최고의 교양 프로그램 '썰전' 호명 ""유시민 전원책 김구라 감사하다"""
20170502,유시민,19대대선,한국일보,김표향,나영석 유시민 유희열 ‘인문학 예능'으로 뭉친다
20170502,유시민,19대대선,중앙일보,,"나영석PD, 이번엔 유시민 유희열 손잡고 새 예능"
20170502,유시민,19대대선,중앙일보,정은혜,"나영석, 유시민 유희열과 '윤식당' 후속 만든다"
20170502,유시민,19대대선,광주매일신문,연합뉴스,"나영석 PD, 유시민 유희열과 여행예능 ‘잡학사전’ 만든다"
20170502,유시민,19대대선,머니투데이,남지우,나영석 새 '인문학' 예능 유시민X유희열 뭉친다
20170502,유시민,19대대선,매일신문,뉴미디어부 kkstar@msnet.co.kr,"나PD, 유시민-유희열과 손잡았다..인문학 콘셉트 '알쓸신잡'"
20170502,유시민,19대대선,경인일보,디지털뉴스부,"나영석, 유시민-유희열과 '알쓸신잡'으로 뭉친다 인문학+여행 콘셉트"
20170502,유시민,19대대선,한국경제,,"나영석 PD, 유시민X유희열과 인문학 여행 예능..'윤식당' 후속 확정"
20170502,유시민,19대대선,한국경제,,"나영석 PD, '윤식당' 이어 2연타 홈런 날릴까? ""유시민+유희열 출연 프로그램 준비 中"""
20170502,유시민,19대대선,아시아경제,최누리,"나영석 PD, 유시민 유희열과 새 예능으로 뭉쳤다"
20170502,유시민,19대대선,매일경제,김승진,"나영석 유시민, 새 예능 ‘알쓸신잡’에 누리꾼들 “난해한 제목도 믿음이 가”"
20170502,유시민,19대대선,서울경제,김상민 기자,"유시민, 나영석 PD와 손 잡고 '신개념 인문학 예능'"
20170502,유시민,19대대선,YTN,김아연,"나영석 PD, 유시민 유희열과 준비 중인 새 예능"
20170502,유시민,19대대선,매일경제,박세연,"tvN 측 ""나PDX유희열 유시민 새예능 ``알쓸신잡`, `윤식당` 후속"""
20170502,유시민,19대대선,서울경제,금빛나 기자,tvN 측 “나PD 신작 ‘알쓸신잡’ 유시민 유희열과 준비 중” (공식입장)
20170502,유시민,19대대선,매일경제,박세연,"나영석PD, `인문학+여행` 예능 론칭 유희열-유시민 출연"
20170429,유시민,19대대선,울산매일,울산매일,"유시민 전원책 ""돼지발정제, 왜 책에 썼는지 모르겠다"""
20170428,유시민,19대대선,중부일보,홍지예,"'썰전' 유시민, 안철수 TV토론 '갑철수' 'MB아바타' 발언에 ""자해적인 네거티브"" 비난"
20170428,유시민,19대대선,중앙일보,한영혜,"유시민 “‘갑철수’ 발언 패착, 매우 큰 실수 나라면 참모 경질”"
20170428,유시민,19대대선,서울경제,김경민 기자,"'썰전' 유시민, ""네거티브 문건 공식적으로 만드는 당 없다"" 안철수 주장 반박"
20170428,유시민,19대대선,부산일보,미디어본부13,"'썰전' 유시민, 홍준표 '돼지발정제' 논란에 ""사소한 문제 아냐"" 일침"
20170428,유시민,19대대선,서울경제,장주영 기자,"‘썰전’ 유시민-전원책 ‘대선 TV토론 분석’, “수준 이하의 토론”"
20170428,유시민,19대대선,아시아경제,최누리,"유시민, 故 노무현 전 대통령 다룬 다큐 영화 출연한다"
20170428,유시민,19대대선,서울신문,오세진,송영길 “홍석현 유시민 차기 총리설? 전부 잘못된 뉴스”
20170428,유시민,19대대선,경향신문,곽희양 기자 huiyang@kyunghyang.com,"송영길 ""홍석현, 유시민, 송영길 총리설? 다 잘못된 뉴스"""
20170428,유시민,19대대선,전자신문,이희진 기자,"썰전 유시민 ""안철수, MB 아바타?갑철수 부정적 프레임 덮어씌웠다"""
20170428,유시민,19대대선,매일신문,뉴미디어부 kkstar@msnet.co.kr,"'썰전' 유시민, 전주국제영화제 N프로젝트 다큐영화 '노무현입니다' 출연"
20170428,유시민,19대대선,국민일보,태원준 기자,"총리 후보, 홍석현 유시민 송영길? ""다 잘못된 뉴스"""
20170428,유시민,19대대선,서울신문,김유민,"썰전 유시민, TV토론 분석 “심상정 유승민 잘해보이는 이유는..”"
20170428,유시민,19대대선,한국경제,,'썰전' 대선특집 유시민&전원책 막바지 대선 판도 두고 격론
20170428,유시민,19대대선,부산일보,미디어본부13,"'썰전' TV토론 중간 점검, 전원책 ""양강 구도 힘들어"" 유시민 ""안철수 재미 못 봐"""
