일자,언론사,기고자,제목
20200818,머니투데이,홍봉진|기자,[사진]헌화하는 유시민 이사장
20200814,세계일보,김현주,"시민단체 ""유시민, 검경이 노무현재단 계좌 열어봤다고 주장하지만 증거 제시 못하고 있다"""
20200813,조선일보,권오은 기자,"시민단체, 유시민 검찰에 고발 “노무현재단 계좌 조회 허위사실 유포”"
20200813,아시아경제,최석진,"“검찰이 노무현재단 계좌 봤다” 발언 유시민, 명예훼손으로 고발 당해"
20200812,머니투데이,구단비|기자,"유시민 ""검찰, '노무현재단 계좌추적 의심' 억울하면 날 혼내라"""
20200616,한국경제,조준혁(presscho@hankyung.com),"노무현재단, 검찰에 공개 질의 ""유시민 계좌 들여다봤나"""
20200609,세계일보,김현주,"檢 ""신라젠 계좌 추적, 유시민 노무현 재단 이사장 관련 혐의 찾지 못했다"""
20200608,국민일보,박상은 기자,"검찰, 신라젠 수사 마무리 “유시민 노무현재단 관련 없어”"
20200608,세계일보,,"검찰 ""신라젠 로비의혹 실체없어 노무현재단 유시민 무관"""
20200524,서울신문,강주리,진중권 “유시민에 이해찬까지 초치네 노무현재단 뭔가 터진다”
20200523,서울신문,강경민,[포토] 눈물 훔치는 유시민 노무현 재단 이사장
20200421,한국경제,이보배(bobae38317@hanmail.net),"유시민 '알릴레오 시즌2' 오늘 마지막 ""노무현재단 이사장직 집중"""
20200421,국민일보,박은주 기자,‘유시민의 알릴레오 시즌2’ 오늘 마지막 “노무현재단 이사장 집중”
20200421,서울신문,정현용,"유시민, 알릴레오 시즌2 오늘 마감 “노무현재단 이사장 집중”"
20200419,디지털타임스,김미경,"총선 낙선한 박수현, 유시민 이사장에게 “꺼지지 않는 등불 되어 달라”"
20200413,아주경제,박경은,"[총선 D-2] '범진보 180석' 논란에 유시민 ""정의당 민생당 다 포함한 것"""
20200325,조선일보,손덕호 기자,"유시민 ""열린민주당은 '매운맛 민주당' 정의당 표 엄청 가져온다"""
20200324,세계일보,김주영,"유시민이 제기한 ‘조국 장관 지명 전 檢내사’, 사실 아니다"
20200316,부산일보,김길수,[노트북 단상] 유시민 이사장의 외국 언론 '민족 정론지' 발언 유감
20200306,조선일보,김보연 기자,"유시민 ""정의당 불참 입장 확실 민주당, 비례연합정당 참여 어려울 것"""
20200227,한국경제,이미나(helper@hankyung.com),"""막을 생각 없네"" 야전사령관 뒤에 총 쏜 전 복지부장관 유시민 ""제발 그 입 좀 다물라"""
20200115,서울경제,이혜리 기자,"유시민 ""안철수, 이번엔 정의당도 못 이긴다 참 안변해"""
20200115,동아일보,김진하,"유시민 “안철수, 참 안 변해 호남서 정의당도 못이길 것”"
20200115,머니투데이,김민우 |기자,"유시민 ""안철수 참 안변한다 총선서 정의당도 못이길 것"""
20200108,서울경제,김경훈 기자,"유시민, 윤석열 겨냥해 ""검찰 보면 무정부 상태 내가 장관이면 사표 받아"""
20200108,아시아경제,한승곤,"유시민 ""정치 생각 없어 이사장 넘기면 '알릴레오'도 그만"""
20200104,국민일보,천금주 기자,‘유시민 거짓 주장 바로 잡아야 한다’고 한 이부영 이사장
20200102,매일경제,이상규,"진중권 교수, 유시민 이사장 향해 직격탄 ""알릴레오가 전체주의 부추겨"""
20191230,조선일보,박상현 기자,"경찰 ""노무현재단 계좌추적 사실 아니야"" 유시민 의혹제기 반박"
20191230,중앙일보,정혜정(jeong.hyejeong@joongang.co.kr),"경찰 ""노무현재단 계좌추적 확인 안 돼"" 유시민 주장 반박"
20191230,한겨레,정환봉,"경찰, ‘유시민 계좌추적 의혹’ “노무현재단 수사대상 아닌 건 명백”"
20191226,머니투데이,임지우|인턴기자,"유시민 ""검찰이 노무현재단 계좌 들여다 본 것, 99% 확실"""
20191226,SBS,김관진 기자,"유시민 ""검찰이 노무현재단 계좌 봤다"" 檢, 즉각 반발"
20191226,조선일보,최연진 기자,"유시민 ""검찰, 노무현재단 은행계좌 조사"" 검찰 ""악의적 허위 주장"""
20191226,중앙일보,한영혜(han.younghye@joongang.co.kr),"유시민 “검찰, 노무현재단 계좌추적” 검찰 “악의적 허위 주장”"
20191225,한국일보,이현주,유시민 “검찰이 노무현재단 계좌 들여다봐” 여당도 “검찰권 남용” 가세
